Номер договора,107 ВМ,Дата и время,25.08.26,,,,
Пинта пивная ,,проверить состояние /чистота,120,,,,
Ингридиенты для упаковки,,,,,,,
Позиция ,,,Итого,,,,
Лед (20кг на 100 напитков),"0,15",,МСК,,,,
Крафтовый лед Кубы 5см,,,100,,,,
Белый ром,40,30,1200,,,,
Бурбон,45,30,1350,,,,
Биттер Ангостура,3 дэша,30,1 бут,,,,
Сахар рафинад,5 гр (1 кубик),30,150,,,,
Сухой джин,40,30,1200,,,,
Тоник,120,30,3600,,,,
Сухой джин,45,30,1350,,,,
Белок,20,70,1400,,,,
Сухой джин,60,30,1800,,,,
Ананасовый ром,60,30,1800,,,,
п/ф Сахарный сироп,20,70,1400,,,,
Газированная вода,60,70,4200,,,,
Лайм,50гр (1/2 лайма),70,3500,,,,
Мята (свежая),5гр (10 листиков),70,350,,,,
Лимон,8,100,2000,,,,
Банан,6,70,2000,,,,
Апельсин ,8,130,3250,,,,
Листья банана,,,100,,,,
Negroni,,,2700,,,,
Clover Club,,,5250,,,,
Basil Smash,,,3850,,,,
Mai Tai ,,,5600,,,,
Вода 19л бутыль,По 1 на миниприм ,,1,,,,
Пиво,По списку,Проверить сроки годности и пломбы,,,,,
Lager ,,,МСК,,,,
Ингридиенты для пребатчей,,,,,,,
Позиция ,Кол-во в напитке,Кол-во напитков,Итого,,,,
Negroni,,,,,,,
Сухой джин,30,30,900,,,,
Красный вермут,30,30,900,,,,
Лигаре Биттер,30,30,900,,,,
Clover Club,,,,,,,
Сироп Малина,20,70,1400,,,,
Пюре Малина,30,70,2100,,,,
п/ф Супер Джус лимонный,25,70,1750,,,,
Basil Smash,,,,,,,
п/ф Супер Джус лимонный,25,70,1750,,,,
п/ф Сахарный сироп,20,70,1400,,,,
Базилик свежий,10гр (8 листиков),70,700,,,,
Mai Tai ,,,,,,,
пюре Манго,30,70,2100,,,,
Сироп Амаретто,10,70,700,,,,
п/ф Супер Джус лаймовый,30,70,2100,,,,
Сироп Корица,10,70,700,,,,
Сахар песок ,,,5000,,,,
Лимон,8,100,1000,,,,
Декор,,,,,,,
Тейбл-тент (Светильник + магнитик),по кол-ву меню,,2,,,,
Бочонок декоративный,По необходимости,Чистый и целый,2,,,,
Солод,5 банок,Банки целые и чистые,5,,,,
Колосья декоративные,6 снопов,Целые в упаковке,6,,,,
Кружки пивные декоративные,2 шт,Чистые и целые,2,,,,
Документы,,,,,,,
Чек-лист (КОПИЯ),Отдать сотрудникам с собой,,1,,,,
Распечатка раскладки,Отдать сотрудникам с собой,,1,,,,
Карта упаковки и погруз места,Отдать сотрудникам с собой,,1,,,,
Паспорта сотрудников,Обязательно,У каждого члена команды при заезде на площадку,4,,,
,,,,,,,
Отметка ответственного,,,Составлял:,,Погружено:,Принял:,Подсчитал:
,,Фамилия И.О.  ,,,,,
,,Подпись  ,,,,,
,,,,,,,
,,,,,,,
Раскладка напитков АЛКО,,,,,,,
