Номер договора,112 ВМ,Дата и время,24.08.26,,,,
Трубочки для фреша ,"кол-во напитков х 1,5   (для смузи и соков)",,,,,,
"Стакан пластик матовый 0,375",по кол-ву напитков +20 %,,,,,,
Крышки под стаканы,по кол-ву напитков +20 %,,,,,,
Стрейч пленка,1 рулон ,,,,,,
Скотч,мин 1 шт,,,,,,
Посуда,,,,,,,
Wine glass,,проверить состояние /чистота,,,,,
Old Fashioned,,проверить состояние /чистота,,,,,
3 shots,,проверить состояние /чистота,,,,,
Collins,,проверить состояние /чистота,,,,,
Tiki,,проверить состояние /чистота,,,,,
Highball,,проверить состояние /чистота,,,,,
Shale,,проверить состояние /чистота,,,,,
Punch bowl,,проверить состояние /чистота,,,,,
Ингридиенты для упаковки,,,,,,,
Позиция ,Кол-во в напитке,Кол-во напитков,Итого,,,,
Лед (20кг на 100 напитков),"0,18",,18 кг (ориентир 20 кг / 100 напитков),,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Ингридиенты для пребатчей,,,,,,,
Позиция ,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Украшения,,,,,,,
Голубика,,,,,,,
Малина свежая,,,,,,,
Мята,,,,,,,
Цедра апельсина,,,,,,,
Чипс ананаса,,,,,,,
Чипс банана,,,,,,,
Чипс лимона,,,,,,,
Чипс апельсина,,,,,,,
Слайс Лимона,,,,,,,
Слайс Лайма,,,,,,,
Слайс Апельсина ,,,,,,,
Вейдж Лимона ,,,,,,,
Вейдж Лайма,,,,,,,
Вейдж Апельсина ,,,,,,,
Ринг Лимона,,,,,,,
Ринг Лайма ,,,,,,,
Ринг апельсина,,,,,,,
Гипсофила ,,,,,,,
Маршмелоу ,,,,,,,
Взбитые сливки ,,,,,,,
Кокосовая стружка,,,,,,,
Сахарная вата,,,,,,,
Декор,,,,,,,
Меню со списком напитков,,,,,,,
Тейбл-тент А4,,,,,,,
